time_s,measured_x_m,predicted_x_m,measured_y_m,predicted_y_m,position_error_m,measured_yaw_rad,predicted_yaw_rad,yaw_error_rad,measured_yaw_rate_radps,predicted_yaw_rate_radps,yaw_rate_error_radps,measured_slip_angle_rad,predicted_slip_angle_rad,slip_angle_error_rad
14.05,1.76398552,1.7639855200671386,27.755992501,27.75599250125572,2.6438396265793074e-10,1.547020702,1.5470207023738274,3.738271914244251e-10,-0.278810559,-0.2788105591366975,-1.3669748666345072e-10,-0.013428617,-0.013428617045832954,-4.5832953751712147e-11
14.06,1.764765218,1.7647652183447575,27.775977287,27.775977287132427,3.6931665167846815e-10,1.54416019,1.5441601896440034,-3.5599656555973525e-10,-0.275933729,-0.27593372848308795,5.169120687043005e-10,-0.013465696,-0.013465696312590189,-3.125901898437533e-10
14.07,1.765590391,1.7655903911963438,27.795960247,27.795960247699526,7.265584652347602e-10,1.541457316,1.5414573165189962,5.189964014107318e-10,-0.281740672,-0.2817406717011143,2.9888574948344626e-10,-0.013769214,-0.013769214457581365,-4.575813651597205e-10
14.08,1.766487305,1.7664873056470491,27.815940116,27.815940116470454,7.99999614624682e-10,1.538573825,1.5385738249027163,-9.728395866659412e-11,-0.277705139,-0.27770513856615914,4.3384085213205026e-10,-0.013711199,-0.013711198546805383,4.5319461725035204e-10
14.09,1.767428448,1.7674284480176001,27.835917951,27.83591795127978,2.80332795648598e-10,1.535856984,1.535856984209099,2.0909896036869213e-10,-0.282824605,-0.28282460466746595,3.325340558468781e-10,-0.013948073,-0.01394807339598682,-3.959868197234151e-10
14.1,1.768440407,1.7684404070617266,27.855892324,27.85589232382982,1.8102737599229334e-10,1.532964891,1.532964891104216,1.042161912323536e-10,-0.278377819,-0.27837781855904614,4.4095388451736994e-10,-0.013842658,-0.01384265824863567,-2.4863566934485437e-10
14.11,1.769495912,1.7694959122796179,27.875864443,27.875864443056738,2.8531601777933144e-10,1.530242673,1.5302426733270078,3.270077542083527e-10,-0.283248793,-0.2832487933758736,-3.7587361001456543e-10,-0.014045387,-0.014045387227054609,-2.2705460948901912e-10
14.12,1.770621715,1.7706217156692674,27.895832722,27.895832722679526,9.53767050405406e-10,1.527347162,1.5273471619330738,-6.692602028124384e-11,-0.278650051,-0.27865005076967686,2.3032314944160248e-10,-0.013915107,-0.013915107139996342,-1.3999634264350025e-10
14.13,1.771765324,1.7717653246681018,27.915799997,27.91579999770312,9.69917169130021e-10,1.524915169,1.5249151691388123,1.3881251703651287e-10,-0.197781646,-0.1977816460548073,-5.4807297589221093e-11,-0.010622442,-0.010622441922122116,7.787788296187426e-11
14.14,1.772885814,1.7728858143169888,27.935768582,27.93576858243437,5.377344745399018e-10,1.523241498,1.5232414983884235,3.8842351557377697e-10,-0.158324871,-0.1583248712688098,-2.6880980774635077e-10,-0.008801321,-0.008801321211316595,-2.113165944311879e-10
