interval_start_index,partition,time_s,speed_mps,steer_rad,input_steer_vel_radps,input_accel_x_mps2,measured_yaw_rate_radps,predicted_yaw_rate_radps,yaw_rate_residual_radps,measured_slip_angle_rad,predicted_slip_angle_rad,slip_angle_residual_rad
28,train,0.29,1.621980312,0.0,3.2,1.797483618,0.077473346,0.07747334605004377,5.0043774679764397e-11,0.006142917,0.006142917190983194,1.9098319366944727e-10
29,train,0.3,1.639955148,0.032,-3.2,1.712013272,0.07311368,0.07311368032576884,3.257688424573857e-10,0.005931747,0.005931746569799525,-4.30200475069753e-10
30,train,0.31,1.657075281,0.0,3.2,1.630607041,0.079089431,0.07908943070263465,-2.9736535456237334e-10,0.00604061,0.006040610739242855,7.392428552979724e-10
31,train,0.32,1.673381351,0.032,-3.2,1.553071676,0.074716551,0.07471655077339204,-2.266079685009359e-10,0.005832223,0.005832222980612357,-1.938764340042587e-11
32,train,0.33,1.688912068,0.0,3.2,1.479223118,0.080570764,0.08057076378903597,-2.1096403790554774e-10,0.005944253,0.005944252298523996,-7.014760040197077e-10
33,train,0.34,1.703704299,0.032,-3.2,1.408886058,0.076182639,0.07618263938966505,3.8966505022663966e-10,0.005738646,0.005738646535328337,5.353283372144801e-10
34,train,0.35,1.71779316,0.0,3.2,1.341893526,0.081928115,0.08192811536407546,3.640754642209032e-10,0.005853773,0.005853772569232299,-4.3076770102346007e-10
35,train,0.36,1.731212095,0.032,-3.2,1.278086489,0.077523511,0.07752351075577765,-2.442223506760044e-10,0.005650911,0.0056509109188187774,-8.118122233474745e-11
36,train,0.37,1.74399296,0.0,3.2,1.217313477,0.083171383,0.08317138277630115,-2.236988511095106e-10,0.005769046,0.0057690466045473825,6.045473826404857e-10
37,train,0.38,1.756166094,0.032,-3.2,1.159430221,0.078749654,0.07874965352414803,-4.758519689396223e-10,0.005568866,0.00556886612163969,1.2163969050765777e-10
38,train,0.39,1.767760397,0.0,3.2,1.104299314,0.084309677,0.08430967705896514,5.896513832759354e-11,0.005689907,0.005689907014343113,1.434311263509569e-11
39,train,0.4,1.77880339,0.032,-3.2,1.051789881,0.079870617,0.07987061705139115,5.1391141342449487e-11,0.005492328,0.005492327337010565,-6.629894350532184e-10
