run_id,controller,integration_dt_s,control_rate_hz,control_period_s,completed_lap,collision,final_time_s,lap_time_s,final_progress_m,mean_speed_mps,max_speed_mps,rms_cte_m,max_abs_cte_m,mean_abs_steer_rad,max_abs_steer_rad,mean_abs_command_steer_rad,max_abs_command_steer_rad,steering_effort_rad,termination_reason,case,delay_ms
lqr_nominal,lqr,0.002,100.0,0.01,True,False,38.064,38.064,156.355805239,8.34290677967145,9.856789675,0.17862770434830819,0.497708149,0.04264649012189996,0.224,0.04258351754030055,0.220905679,8.987771984,completed_lap,nominal,0.0
lqr_offset_plus_0p5m,lqr,0.002,100.0,0.01,True,False,38.106,38.106,156.357275907,8.341672132960742,9.85682363,0.20450907899930157,0.867979698,0.04599850942108854,0.3456,0.04625639243851362,0.341945024,10.155862902,completed_lap,offset_plus_0p5m,0.0
lqr_delay_30ms,lqr,0.002,100.0,0.01,True,False,38.122,38.122,156.35529539,8.335777798452021,9.89488021,0.18310162187967752,0.529881388,0.04502697654897434,0.2368,0.04509895199706206,0.235905177,11.643015662999998,completed_lap,delay_30ms,30.0
