time_s,dt_to_next_s,input_steering_velocity_radps,input_accel_x_mps2,gym_x_m,gym_y_m,gym_steer_rad,gym_speed_mps,gym_theta_rad,gym_yaw_rate_radps,dynamic_x_m,dynamic_y_m,dynamic_steer_rad,dynamic_speed_mps,dynamic_theta_rad,dynamic_yaw_rate_radps,dynamic_slip_angle_rad,kinematic_yaw_rate_radps,error_x_m,error_y_m,error_position_m,error_yaw_rad,error_yaw_rate_radps,error_speed_mps
0.01,0.01,0.0,8.409438762,0.700083535,0.00041209,0.0,0.084094388,1.370796327,0.0,0.700083535,0.00041209,0.0,0.084094388,1.370796327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.02,0.009999999999999998,-3.2000000000000006,9.51,0.700345072,0.001702293,0.0,0.179194388,1.370796327,0.0,0.7003341396361826,0.0016483614841314772,0.0,0.16818877562,1.3707963269999999,0.0,0.0,0.0,-1.093236381732865e-05,-5.393151586852271e-05,5.5028401598730395e-05,0.0,0.0,-0.011005612380000002
0.03,0.010000000000000002,-3.1999999999999993,9.51,0.700795633,0.003924521,-0.032,0.274294388,1.370678755,-0.026591211,0.7007628282205781,0.0037627285337685362,-0.031999999999999994,0.26328877561999997,1.3706840890745227,-0.025524281945708795,0.0,-0.026587538109743823,-3.280477942191329e-05,-0.00016179246623146404,0.00016508469245263117,5.334074522522769e-06,0.0010669290542912047,-0.01100561238000003
0.04,0.010000000000000002,-3.1999999999999993,9.51,0.701436079,0.007078599,-0.064,0.369394388,1.370202803,-0.071694646,0.701381335342674,0.006808959515048596,-0.064,0.35838877562,1.3702241491917277,-0.06955860024389063,0.0,-0.07165498456649154,-5.474365732605069e-05,-0.000269639484951404,0.0002751405456531089,2.1346191728000008e-05,0.0021360457561093726,-0.01100561238000003
0.05,0.009999999999999995,-3.2000000000000015,9.51,0.70226879,0.011164043,-0.096,0.464494388,1.369182663,-0.135460187,0.7021919319564683,0.010786592058331273,-0.096,0.45348877562,1.369230732845736,-0.13225062745919958,0.0,-0.13529117762678994,-7.685804353163572e-05,-0.00037745094166872703,0.0003851965371367188,4.8069845735909666e-05,0.003209559540800433,-0.011005612379999974
0.06,0.010000000000000009,-3.199999999999997,9.51,0.703352419,0.016168033,-0.128,0.559594388,1.367662507,-0.069988703,0.7032522087936213,0.015683015293881407,-0.128,0.54858877562,1.3677307582525655,-0.06438430780163974,-0.03511655365568792,-0.21763042122385257,-0.0001002102063787369,-0.00048501770611859146,0.0004952618102690833,6.825125256559872e-05,0.005604395198360257,-0.011005612380000085
0.07,0.009999999999999995,-3.2000000000000015,9.51,0.704819138,0.022059613,-0.16,0.654694388,1.366155173,-0.181276338,0.7046943616850152,0.021467292858342382,-0.16,0.64368877562,1.366239554232207,-0.17566910966083937,-0.05006107593072441,-0.31885298086574204,-0.0001247763149847536,-0.0005923201416576165,0.000605319980666815,8.438123220688709e-05,0.005607228339160636,-0.011005612379999974
0.08,0.009999999999999995,3.2000000000000015,9.51,0.706634167,0.028843387,-0.192,0.749794388,1.36375028,-0.288330114,0.7064840967727173,0.02814391212294946,-0.192,0.73878877562,1.3638678222177276,-0.2841902369222679,-0.06291560759937205,-0.4391857457300083,-0.00015007022728275032,-0.0006994748770505418,0.00071539232365295,0.00011754221772752871,0.0041398770777321126,-0.011005612379999974
0.09,0.010000000000000009,-3.199999999999997,9.51,0.708801046,0.036516708,-0.16,0.844894388,1.360475045,-0.349894868,0.7086240761383616,0.03571047041321275,-0.16000000000000003,0.83388877562,1.3606279498647886,-0.34616121884329215,-0.06963650654203432,-0.4114852655962233,-0.00017696986163839856,-0.000806237586787252,0.000825431631497634,0.0001529048647883613,0.0037336491567078745,-0.011005612380000085
0.1,0.009999999999999995,3.2000000000000015,9.51,0.711291415,0.045086618,-0.192,0.939994388,1.356712989,-0.41210123,0.7110859872188068,0.04417404264849252,-0.19200000000000003,0.92898877562,1.3569020565086687,-0.40849601385857925,-0.07282490260732803,-0.5505937932891048,-0.000205427781193257,-0.0009125753515074816,0.0009354113242125029,0.00018906750866864996,0.0036052161414207307,-0.011005612379999974
