time_s,measured_x_m,predicted_x_m,measured_y_m,predicted_y_m,position_error_m,measured_yaw_rad,predicted_yaw_rad,yaw_error_rad,measured_yaw_rate_radps,predicted_yaw_rate_radps,yaw_rate_error_radps,measured_slip_angle_rad,predicted_slip_angle_rad,slip_angle_error_rad
14.22,1.718462406,1.7184624058220936,27.957794339,27.957794339818864,8.379680902351996e-10,1.517986349,1.517986349497927,4.979270329386054e-10,-0.127956584,-0.12795658415049185,-1.504918412109646e-10,-0.007362495,-0.007362495103919388,-1.039193878518696e-10
14.23,1.719662624,1.719662623420512,27.977758291,27.977758291441944,7.287800081954807e-10,1.516850996,1.5168509960848198,8.481970681373241e-11,-0.117709019,-0.11770901857584605,4.2415394807537865e-10,-0.006684761,-0.0066847607953059475,2.0469405250661543e-10
14.24,1.720885678,1.7208856777809898,27.997720857,27.99772085727457,3.512164400416579e-10,1.515659239,1.5156592390879045,8.790435046535094e-11,-0.104258695,-0.1042586953878286,-3.878286025660316e-10,-0.005961953,-0.005961952504804218,4.951957819493424e-10
14.25,1.722107293,1.7221072927717191,28.01768351,28.017683510914054,9.42127790845679e-10,1.514707146,1.514707146559461,5.594609220338498e-10,-0.103827692,-0.10382769151868254,4.813174581119739e-10,-0.005740274,-0.005740273985754835,1.4245164943471611e-11
14.26,1.723356284,1.723356283736452,28.03764447,28.037644470462904,5.326706794958027e-10,1.513622974,1.513622973823738,-1.762621160139588e-10,-0.096086726,-0.09608672638013471,-3.801347153720158e-10,-0.005313296,-0.005313296095751572,-9.575157160213177e-11
14.27,1.724606994,1.7246069938352044,28.057605322,28.057605322250534,2.9987456247815124e-10,1.512734393,1.5127343932768946,2.7689495141203224e-10,-0.09898637,-0.09898637045516653,-4.5516652946719915e-10,-0.005287189,-0.005287189150000833,-1.5000083293525979e-10
14.28,1.725887309,1.7258873087188018,28.077564297,28.077564296962596,2.836748072002984e-10,1.511687978,1.5116879783276573,3.276570126331535e-10,-0.093195956,-0.0931959554846755,5.1532449141245e-10,-0.004991979,-0.004991979381743243,-3.8174324291928574e-10
14.29,1.727145594,1.7271455936129394,28.097524667,28.097524667673056,7.764168057501077e-10,1.511114478,1.5111144778831687,-1.1683143341656432e-10,-0.011598436,-0.011598435979380803,2.0619197321769533e-11,-0.001579165,-0.0015791648958383008,1.0416169923116447e-10
14.3,1.728341541,1.728341540934885,28.117488871,28.117488871078415,1.0192623056092022e-10,1.511305085,1.511305085023479,2.347899652477281e-11,0.028310769,0.02831076847344989,-5.265501090701008e-10,0.000330259,0.00033025898125601605,-1.874398395827412e-11
14.31,1.729511648,1.72951164765789,28.137454608,28.13745460828322,4.4413294368233425e-10,1.511667673,1.5116676730197183,1.971844909576248e-11,0.058964318,0.05896431828146334,2.8146333874712326e-10,0.001834449,0.0018344488550661845,-1.449338153831914e-10
14.32,1.73063522,1.7306352200902244,28.157423018,28.157423018113096,1.4467691785507248e-10,1.512402512,1.512402512402617,4.026170508097948e-10,0.069394931,0.06939493125314174,2.53141729800177e-10,0.002560844,0.0025608436595205655,-3.404794345768236e-10
14.33,1.731743432,1.7317434313251094,28.177392287,28.17739228742096,7.95415304089291e-10,1.513082436,1.513082436004571,4.5710102369866945e-12,0.082964922,0.08296492166531406,-3.3468593174657e-10,0.003320041,0.0033200412805000573,2.805000572092542e-10
14.34,1.732812183,1.732812182565357,28.197363707,28.197363707283866,5.191281910499457e-10,1.514003005,1.514003005466555,4.665547947979576e-10,0.083475663,0.08347566335768133,3.576813289996039e-10,0.003569029,0.0035690286115729985,-3.8842700150060194e-10
14.35,1.733870442,1.7338704415213766,28.217335686,28.2173356864061,6.276922560233114e-10,1.514792154,1.5147921544973775,4.97377250496811e-10,0.091270767,0.09127076699639651,-3.603492504389294e-12,0.004016557,0.004016556925194049,-7.480595049652594e-11
