run_id,integrator,dt_s,step,time_s,x_m,y_m,theta_rad,speed_mps,steer_rad,command_speed_mps,command_steer_rad,yaw_rate_radps,accel_x_mps2,accel_y_mps2,nearest_waypoint_index,progress_m,cte_m,abs_cte_m,lap_time_s,lap_count,collision,completed_lap,termination_reason
rk4_dt_0p0050,rk4,0.005000,1,0.005000,0.700020884,0.000103023,1.370796327,0.042047194,0.000000000,8.842732662,-0.179619089,0.000000000,8.409438762,0.000000000,0,0.168912866,0.367957978,0.367957978,0.010000,0,0,1,completed_lap
rk4_dt_0p0050,rk4,0.005000,2,0.010000,0.700086268,0.000425573,1.370796327,0.089597194,0.000000000,8.842732662,-0.179619089,0.000000000,9.510000000,0.000000000,0,0.169232292,0.367878798,0.367878798,0.015000,0,0,1,completed_lap
rk4_dt_0p0050,rk4,0.005000,3,0.015000,0.700198889,0.000981134,1.370781632,0.137147194,-0.016000000,8.842732662,-0.179619089,-0.006646100,9.510000000,-0.000911494,0,0.169782472,0.367742416,0.367742416,0.020000,0,0,1,completed_lap
rk4_dt_0p0050,rk4,0.005000,4,0.020000,0.700358773,0.001769700,1.370722178,0.184697194,-0.032000000,8.842732662,-0.179609484,-0.017905295,9.510000000,-0.003307058,0,0.170563399,0.367548805,0.367548805,0.025000,0,0,1,completed_lap
rk4_dt_0p0050,rk4,0.005000,5,0.025000,0.700565994,0.002791255,1.370594876,0.232247194,-0.048000000,8.842732662,-0.179570656,-0.033786901,9.510000000,-0.007846913,0,0.171575053,0.367297892,0.367297892,0.030000,0,0,1,completed_lap
rk4_dt_0p0050,rk4,0.005000,6,0.030000,0.700820696,0.004045772,1.370376581,0.279797194,-0.064000000,8.842732662,-0.179487626,-0.054304996,9.510000000,-0.015194385,0,0.172817402,0.366989535,0.366989535,0.035000,0,0,1,completed_lap
rk4_dt_0p0050,rk4,0.005000,7,0.035000,0.701123111,0.005533201,1.370044067,0.327347194,-0.080000000,8.842732662,-0.179345471,-0.079478456,9.510000000,-0.026017050,0,0.174290386,0.366623503,0.366623503,0.040000,0,0,1,completed_lap
rk4_dt_0p0050,rk4,0.005000,8,0.040000,0.701473584,0.007253474,1.369573998,0.374897194,-0.096000000,8.842732662,-0.179129343,-0.109331016,9.510000000,-0.040987891,0,0.175993921,0.366199457,0.366199457,0.045000,0,0,1,completed_lap
rk4_dt_0p0050,rk4,0.005000,9,0.045000,0.701872591,0.009206493,1.368942911,0.422447194,-0.112000000,8.842732662,-0.178824469,-0.143891337,9.510000000,-0.060786491,0,0.177927889,0.365716921,0.365716921,0.050000,0,0,1,completed_lap
rk4_dt_0p0050,rk4,0.005000,10,0.050000,0.702320768,0.011392126,1.368127183,0.469997194,-0.128000000,8.842732662,-0.178416159,-0.183193096,9.510000000,-0.086100241,0,0.180092133,0.365175270,0.365175270,0.055000,0,0,1,completed_lap
rk4_dt_0p0050,rk4,0.005000,11,0.055000,0.702818925,0.013810207,1.367103015,0.517547194,-0.144000000,8.842732662,-0.177889818,-0.197503067,9.510000000,-0.102217158,0,0.182486449,0.364573699,0.364573699,0.060000,0,0,1,completed_lap
rk4_dt_0p0050,rk4,0.005000,12,0.060000,0.703419698,0.016449204,1.366227511,0.565097194,-0.160000000,8.842732662,-0.177230940,-0.175962871,9.510000000,-0.099436125,0,0.185097059,0.363860117,0.363860117,0.065000,0,0,1,completed_lap
rk4_dt_0p0050,rk4,0.005000,13,0.065000,0.704127121,0.019307283,1.365291474,0.612647194,-0.176000000,8.842732662,-0.176619352,-0.204571817,9.510000000,-0.125330349,0,0.187921954,0.363030574,0.363030574,0.070000,0,0,1,completed_lap
rk4_dt_0p0050,rk4,0.005000,14,0.070000,0.704933646,0.022385466,1.364164504,0.660197194,-0.192000000,8.842732662,-0.175917145,-0.248179616,9.510000000,-0.163847486,0,0.190962482,0.362092563,0.362092563,0.075000,0,0,1,completed_lap
rk4_dt_0p0050,rk4,0.005000,15,0.075000,0.705835689,0.025684206,1.362823081,0.707747194,-0.176000000,8.842732662,-0.175049695,-0.285242625,9.510000000,-0.201879667,0,0.194219247,0.361049648,0.361049648,0.080000,0,0,1,completed_lap
rk4_dt_0p0050,rk4,0.005000,16,0.080000,0.706825609,0.029205305,1.361324431,0.755297194,-0.176000000,8.842732662,-0.174007731,-0.314291048,9.510000000,-0.237383146,1,0.203423577,0.359899647,0.359899647,0.085000,0,0,1,completed_lap
rk4_dt_0p0050,rk4,0.005000,17,0.085000,0.707898391,0.032950029,1.359692583,0.802847194,-0.160000000,8.863191425,-0.172837293,-0.336276421,9.510000000,-0.269978581,1,0.207098795,0.358608331,0.358608331,0.090000,0,0,1,completed_lap
rk4_dt_0p0050,rk4,0.005000,18,0.090000,0.709049524,0.036919598,1.357957264,0.850397194,-0.176000000,8.863191425,-0.171560655,-0.360417355,9.510000000,-0.306497907,1,0.210993866,0.357225566,0.357225566,0.095000,0,0,1,completed_lap
rk4_dt_0p0050,rk4,0.005000,19,0.095000,0.710280129,0.041113645,1.356092622,0.897947194,-0.160000000,8.863191425,-0.170203051,-0.382858563,9.510000000,-0.343786772,1,0.215108353,0.355750255,0.355750255,0.100000,0,0,1,completed_lap
rk4_dt_0p0050,rk4,0.005000,20,0.100000,0.711588176,0.045532728,1.354126343,0.945497194,-0.176000000,8.863191425,-0.168749535,-0.406071438,9.510000000,-0.383939405,1,0.219442937,0.354184392,0.354184392,0.105000,0,0,1,completed_lap
rk4_dt_0p0050,rk4,0.005000,21,0.105000,0.712975678,0.050176223,1.352036084,0.993047194,-0.160000000,8.863191425,-0.167221735,-0.427436048,9.510000000,-0.424464168,1,0.223996875,0.352526005,0.352526005,0.110000,0,0,1,completed_lap
rk4_dt_0p0050,rk4,0.005000,22,0.110000,0.714441186,0.055044534,1.349849962,1.040597194,-0.176000000,8.863191425,-0.165606441,-0.449421461,9.510000000,-0.467666711,1,0.228770656,0.350776515,0.350776515,0.115000,0,0,1,completed_lap
rk4_dt_0p0050,rk4,0.005000,23,0.115000,0.715987144,0.060136902,1.347545585,1.088147194,-0.160000000,8.863191425,-0.163925009,-0.469754323,9.510000000,-0.511161849,1,0.233763378,0.348933528,0.348933528,0.120000,0,0,1,completed_lap
rk4_dt_0p0050,rk4,0.005000,24,0.120000,0.717612426,0.065453641,1.345150522,1.135697194,-0.176000000,8.863191425,-0.162164171,-0.490683473,9.510000000,-0.557267844,1,0.238975421,0.346998148,0.346998148,0.125000,0,0,1,completed_lap
