run_id,integrator,dt_s,step,time_s,x_m,y_m,theta_rad,speed_mps,steer_rad,command_speed_mps,command_steer_rad,yaw_rate_radps,accel_x_mps2,accel_y_mps2,nearest_waypoint_index,progress_m,cte_m,abs_cte_m,lap_time_s,lap_count,collision,completed_lap,termination_reason
rk4_dt_0p0200,rk4,0.020000,1,0.020000,0.700334140,0.001648362,1.370796327,0.168188775,0.000000000,8.842732662,-0.179619089,0.000000000,8.409438762,0.000000000,0,0.170443237,0.367578628,0.367578628,0.040000,0,1,0,collision
rk4_dt_0p0200,rk4,0.020000,2,0.040000,0.701380288,0.006809173,1.370796327,0.358388775,0.000000000,8.842732662,-0.179619089,0.000000000,9.510000000,0.000000000,0,0.175554062,0.366311752,0.366311752,0.060000,0,1,0,collision
rk4_dt_0p0200,rk4,0.020000,3,0.060000,0.703185052,0.015697572,1.369855403,0.548588775,-0.064000000,8.842732662,-0.179619089,-0.043845325,9.510000000,-0.024053053,0,0.184356241,0.364126835,0.364126835,0.080000,0,1,0,collision
rk4_dt_0p0200,rk4,0.020000,4,0.080000,0.706067626,0.028244005,1.367815839,0.738788775,-0.128000000,8.842732662,-0.179014604,-0.185193740,9.510000000,-0.136819056,0,0.196766579,0.360707965,0.360707965,0.100000,0,1,0,collision
rk4_dt_0p0200,rk4,0.020000,5,0.100000,0.710250680,0.044387624,1.362875815,0.928988775,-0.192000000,8.842732662,-0.177432540,-0.390873208,9.510000000,-0.363116822,1,0.218378500,0.355586965,0.355586965,0.120000,0,1,0,collision
rk4_dt_0p0200,rk4,0.020000,6,0.120000,0.715821541,0.064096503,1.354600518,1.119188775,-0.128000000,8.863191425,-0.173608601,-0.443055074,9.510000000,-0.495862266,1,0.237725995,0.348865803,0.348865803,0.140000,0,1,0,collision
rk4_dt_0p0200,rk4,0.020000,7,0.140000,0.722624766,0.087409653,1.345370809,1.309388775,-0.192000000,8.863191425,-0.167369602,-0.552547212,9.510000000,-0.723499117,1,0.260599101,0.340702286,0.340702286,0.160000,0,1,0,collision
rk4_dt_0p0200,rk4,0.020000,8,0.160000,0.730814446,0.114278863,1.333615508,1.499588775,-0.128000000,8.863191425,-0.098306398,-0.583023410,9.510000000,-0.874295361,1,0.286940620,0.330945427,0.330945427,0.180000,0,1,0,collision
rk4_dt_0p0200,rk4,0.020000,9,0.180000,0.740348847,0.144713976,1.321485865,1.689788775,-0.192000000,8.863191425,-0.087667070,-0.675415859,9.510000000,-1.141310136,1,0.316762835,0.319636309,0.319636309,0.200000,0,1,0,collision
rk4_dt_0p0200,rk4,0.020000,10,0.200000,0.751420319,0.178651281,1.307186528,1.879988775,-0.128000000,8.863191425,-0.076954131,-0.710010014,9.510000000,-1.334810856,1,0.349990822,0.306586664,0.306586664,0.220000,0,1,0,collision
rk4_dt_0p0200,rk4,0.020000,11,0.220000,0.763889548,0.216133370,1.293856547,2.070188775,-0.064000000,8.863191425,-0.064915435,-0.601742499,9.510000000,-1.245720567,1,0.386675299,0.291933058,0.291933058,0.240000,0,1,0,collision
rk4_dt_0p0200,rk4,0.020000,12,0.240000,0.777615047,0.257206411,1.282388366,2.260388775,-0.128000000,8.863191425,-0.054099498,-0.592971353,9.510000000,-1.340345791,2,0.431240027,0.275351627,0.275351627,0.260000,0,1,0,collision
rk4_dt_0p0200,rk4,0.020000,13,0.260000,0.792827359,0.301792387,1.270363536,2.450588775,-0.064000000,8.883017687,0.032263241,-0.570423401,9.510000000,-1.397873184,2,0.474566124,0.256852318,0.256852318,0.280000,0,1,0,collision
