time_s,dt_to_next_s,input_accel_x_mps2,input_steer_rad,command_steer_rad,gym_x_m,gym_y_m,gym_theta_rad,gym_speed_mps,model_x_m,model_y_m,model_theta_rad,model_speed_mps,accel_y_mps2,error_x_m,error_y_m,error_position_m,error_yaw_rad,error_speed_mps
0.13,0.010000000000000009,9.51,-0.16,-0.161994858,0.720739367,0.076161079,1.34223484,1.225294388,0.7223314528943903,0.07438439397663439,1.3358913289334966,1.21428877562,-0.668456341,0.001592085894390305,-0.001776685023365615,0.0023856544526331246,-0.006343511066503105,-0.011005612379999974
0.14,0.009999999999999981,9.51,-0.192,-0.095208861,0.724552305,0.088304985,1.336604928,1.320394388,0.7263196371078888,0.08635592664453362,1.329745850029859,1.30938877562,-0.779650205,0.0017673321078888193,-0.001949058355466382,0.002631024753321043,-0.006859077970140959,-0.011005612379999974
0.15,0.010000000000000009,9.51,-0.16,-0.089953095,0.72871953,0.101334223,1.330469778,1.415494388,0.7309166571250197,0.09912286521734727,1.321797695474178,1.4044887756199997,-0.886117264,0.0021971271250197377,-0.0022113577826527314,0.003117285814036997,-0.008672082525822411,-0.011005612380000196
0.16,0.010000000000000009,9.51,-0.128,-0.084315477,0.733221274,0.115254859,1.324220949,1.510594388,0.735706029052337,0.1128306257019226,1.3147258937232351,1.49958877562,-0.932975139,0.0024847550523369177,-0.002424233298077408,0.003471442748141053,-0.009495055276764752,-0.011005612379999974
0.17,0.009999999999999981,9.51,-0.096,-0.078643054,0.738023421,0.130077839,1.318209307,1.605694388,0.7406579958042792,0.12748808597162037,1.3087089559080916,1.5946887756199999,-0.931817638,0.0026345748042791994,-0.002589753028379632,0.0036942935924672063,-0.009500351091908499,-0.011005612380000196
0.18,0.010000000000000009,9.51,-0.064,-0.073249176,0.743094641,0.145813286,1.312685654,1.700794388,0.745737129435381,0.143105278630036,1.3039256813704885,1.6897887756199996,-0.885878397,0.002642488435380952,-0.0027080073699639884,0.003783655513772541,-0.008759972629511559,-0.011005612380000418
0.19,0.010000000000000009,9.51,-0.096,-0.068352599,0.748420576,0.162465767,1.3076809,1.795894388,0.7509015067578217,0.15969333225642596,1.300555598142429,1.7848887756199998,-0.885852944,0.002480930757821742,-0.0027724347435740537,0.0037204047941699157,-0.007125301857571209,-0.011005612380000196
0.2,0.009999999999999981,9.51,-0.064,-0.063983435,0.754032847,0.180025127,1.302802846,1.890994388,0.7567155952600646,0.17707086844221714,1.2952183366751786,1.8799887756199998,-0.896369604,0.002682748260064649,-0.002954258557782863,0.003990586655256741,-0.0075845093248214646,-0.011005612380000196
0.21,0.010000000000000009,9.51,-0.096,-0.059831175,0.759932517,0.198491022,1.298150027,1.986094388,0.7626087735878717,0.19542326853673703,1.2914793042018875,1.9750887756199995,-0.928500539,0.0026762565878717393,-0.003067753463262962,0.0040710515392818085,-0.006670722798112649,-0.011005612380000418
0.22,0.010000000000000009,9.51,-0.064,-0.055967616,0.766148738,0.217854117,1.29346074,2.081194388,0.7692054645724237,0.21454365676066678,1.2855880558049915,2.0701887756199997,-0.959454261,0.003056726572423618,-0.003310460239333235,0.004505854451129874,-0.007872684195008528,-0.011005612380000418
0.23,0.009999999999999981,9.51,-0.032,-0.052195256,0.772664573,0.238119831,1.289072442,2.176294388,0.775877734878208,0.23464246095715602,1.2814800740864678,2.1652887756199997,-0.893245948,0.0032131618782079707,-0.0034773700428439858,0.004734607868708639,-0.00759236791353235,-0.011005612380000418
0.24,0.010000000000000009,9.51,-0.064,-0.048757645,0.779460922,0.259294296,1.285175287,2.271394388,0.7825651121105136,0.2557361648192588,1.2793351546914158,2.2603887756199996,-0.865615557,0.0031041901105136604,-0.003558131180741164,0.004721895143009141,-0.005840132308584156,-0.011005612380000418
0.25,0.010000000000000009,9.51,-0.032,0.031223135,0.786563231,0.281369338,1.281437488,2.366494388,0.7899774887739242,0.2775928324828246,1.2748582237276604,2.3554887756199996,-0.846964039,0.003414257773924123,-0.003776505517175399,0.005091085352658855,-0.006579264272339458,-0.011005612380000418
0.26,0.010000000000000009,9.51,-0.064,0.034640822,0.793966596,0.304346525,1.277976098,2.461594388,0.7973932974238283,0.30045032702165697,1.2725289422030972,2.4505887756199995,-0.849644853,0.0034267014238282822,-0.003896197978343008,0.005188703242093435,-0.005447155796902692,-0.011005612380000418
0.27,0.010000000000000009,9.51,-0.032,0.037712412,0.801695009,0.3282181,1.274538683,2.556694388,0.8055817233528931,0.32405155989960766,1.2676830619941102,2.5456887756199995,-0.851428188,0.003886714352893117,-0.0041665401003923574,0.005697947425973929,-0.0068556210058901,-0.011005612380000418
0.28,0.009999999999999953,9.51,0.0,0.040652016,0.809726928,0.352991011,1.27146697,2.651794388,0.8137635395199977,0.34865940955655006,1.2651694183400348,2.6407887756199995,-0.728529978,0.004036611519997679,-0.004331601443449962,0.005920895508981371,-0.0062975516599652615,-0.011005612380000418
0.29,0.010000000000000009,9.51,0.032,0.043195543,0.818023806,0.378677731,1.269154057,2.746894388,0.8218525113884989,0.37429698103593934,1.2651694183400348,2.735888775619999,-0.502534758,0.0038287053884988875,-0.004380749964060682,0.005818071433004075,-0.003984638659964901,-0.011005612380000862
0.3,0.010000000000000009,9.51,0.064,0.045063976,0.826545086,0.405291243,1.267891543,2.841994388,0.8297493362800905,0.4009876690804521,1.2678674241236214,2.830988775619999,-0.186879234,0.003204250280090526,-0.004303573919547943,0.0053654420450204715,-2.4118876378764753e-05,-0.011005612380000862
