run_id,controller,integration_dt_s,control_rate_hz,control_period_s,completed_lap,collision,final_time_s,lap_time_s,final_progress_m,mean_speed_mps,max_speed_mps,rms_cte_m,max_abs_cte_m,mean_abs_steer_rad,max_abs_steer_rad,mean_abs_command_steer_rad,max_abs_command_steer_rad,steering_effort_rad,termination_reason,lookahead_m,vgain,classification,weighted_score,selected_baseline
pp_l1.000_g1.375,pure_pursuit,0.002,100.0,0.01,True,False,33.374,33.374,156.34505357,9.504856283652664,10.999999199,0.1658264627498681,0.41459148,0.04555210643015521,0.2688,0.04557425614795949,0.264948512,17.094692855999998,completed_lap,1.0,1.375,stable,1.124208975549868,False
pp_l1.000_g1.600,pure_pursuit,0.002,100.0,0.01,True,False,29.042,29.042,156.354256002,10.98922528129874,12.799993366,0.22647392808553904,0.59135782,0.06626717168239102,0.2816,0.06671093799104745,0.281835856,29.028775487,completed_lap,1.0,1.6,oscillatory,1.8257521574355393,False
pp_l1.200_g0.800,pure_pursuit,0.002,100.0,0.01,False,False,45.0,45.002,156.356252279,5.53872480030169,6.4,0.07185166544883419,0.367980913,0.03440384,0.1408,0.03449218775044444,0.137370248,10.548263256999999,max_steps,1.2,0.8,incomplete,0.6912600565488342,False
pp_l1.200_g1.000,pure_pursuit,0.002,100.0,0.01,False,False,45.0,45.002,156.348941878,6.9776456525874675,7.999999997,0.11071068647618061,0.367980325,0.036972657777777786,0.1664,0.037017862342666664,0.166079587,8.446833098,max_steps,1.2,1.0,incomplete,0.6250474226261806,False
pp_l1.200_g1.200,pure_pursuit,0.002,100.0,0.01,True,False,38.042,38.042,156.343533309,8.330945320963725,9.599999918,0.15789234016557674,0.403061587,0.03986229956364019,0.2048,0.039902200451500974,0.200098701,8.198534063,completed_lap,1.2,1.2,stable,0.6685844400655767,True
pp_l1.200_g1.375,pure_pursuit,0.002,100.0,0.01,True,False,33.504,33.504,156.356114001,9.503369369580469,10.999999245,0.20595597183933007,0.510443069,0.04400878701050621,0.2368,0.043981704598018145,0.231648839,11.767594722,completed_lap,1.2,1.375,stable,0.9219464751893302,False
pp_l1.200_g1.600,pure_pursuit,0.002,100.0,0.01,False,True,2.168,2.17,16.524455224,7.752404846220479,11.195190333,0.32775040351855184,0.614394744,0.09820811808118082,0.256,0.09890093241512915,0.254565937,1.2157939359999999,collision,1.2,1.6,collision,0.5421387863185518,False
pp_l1.500_g0.800,pure_pursuit,0.002,100.0,0.01,False,False,45.0,45.002,156.351315906,5.537727595762444,6.4,0.09266141815103904,0.367980913,0.03459498666666667,0.1216,0.034658277096,0.116344346,9.42092111,max_steps,1.5,0.8,incomplete,0.6557027019010391,False
pp_l1.500_g1.000,pure_pursuit,0.002,100.0,0.01,False,False,45.0,45.002,156.35600774,6.977971483362933,7.999999997,0.1444971363840871,0.367980325,0.03717859555555556,0.1344,0.03720401724044444,0.129634354,8.261524788,max_steps,1.5,1.0,incomplete,0.649568457034087,False
pp_l1.500_g1.200,pure_pursuit,0.002,100.0,0.01,True,False,38.216,38.216,156.353665518,8.329403863977706,9.599999921,0.20647238214753205,0.487028795,0.0398224827297467,0.16,0.039851601713052125,0.159494055,6.99298864,completed_lap,1.5,1.2,stable,0.677879012897532,False
pp_l1.500_g1.375,pure_pursuit,0.002,100.0,0.01,False,True,10.36,10.362,90.22222071,8.9317000646083,10.999998658,0.28573048258810924,0.648834005,0.051301312741312735,0.192,0.0513256591988417,0.191868419,3.272469321999999,collision,1.5,1.375,collision,0.6115624499381093,False
pp_l1.500_g1.600,pure_pursuit,0.002,100.0,0.01,False,True,2.312,2.314,17.950281587,7.96937719283564,11.520555655,0.4279257607702336,0.857763157,0.08594602076124568,0.2304,0.08608104424048442,0.230375709,1.011802887,collision,1.5,1.6,collision,0.6929566943702336,False
