integrator,dt_s,completed_lap,collision,final_time_s,final_progress_m,rms_cte_m,max_abs_cte_m,rms_position_error_vs_ref_progress_m,max_position_error_vs_ref_progress_m,rms_position_error_vs_ref_time_m,max_position_error_vs_ref_time_m,rms_position_change_vs_next_finer_dt_progress_m,max_position_change_vs_next_finer_dt_progress_m,rms_position_change_vs_next_finer_dt_time_m,max_position_change_vs_next_finer_dt_time_m,termination_reason
rk4,0.02,False,True,2.24,15.487325235,0.2328479340122364,0.373819783,0.1514970322407663,0.42818984652694647,0.1544094145218776,0.34669313693403647,0.1339600833553948,0.44716654614289497,0.10364634685285821,0.26523803013583586,collision
rk4,0.01,True,False,33.29,156.329801328,0.1363753481080457,0.367882108,0.03796535510456409,0.2556826471272969,0.23424903112466025,0.40549113556144045,0.03216598535299574,0.2770255526506866,0.19251290016721861,0.33149721647208397,completed_lap
rk4,0.005,True,False,33.26,156.343412836,0.1307365899158312,0.367957978,0.018431334739315196,0.2279639683031641,0.04242728529055677,0.07430588727381177,0.01773853446703809,0.2837296505060607,0.0264742563143365,0.0484435226967044,completed_lap
rk4,0.002,True,False,33.256,156.355612034,0.1300048945389865,0.367979221,0.01397564508857278,0.19590093345982562,0.01610012405475562,0.027192213639668478,0.013330743480200661,0.1760772331731536,0.011179326778958939,0.01891700323780214,completed_lap
rk4,0.001,True,False,33.254,156.35616742,0.1296668408527172,0.367982256,0.01347681755494669,0.1907425681588244,0.0049576491684562626,0.008450606679598698,0.01347681755494669,0.1907425681588244,0.0049576491684562626,0.008450606679598698,completed_lap
rk4,0.0005,True,False,33.253,156.355910615,0.12950900537506738,0.367983015,0.0,0.0,0.0,0.0,,,,,completed_lap
