scenario,estimator,position_rmse_m,max_position_error_m,theta_rmse_rad,speed_rmse_mps,yaw_rate_rmse_radps,measurement_availability_fraction,ekf_position_rmse_improvement_fraction
clean_measurements,dead_reckoning,46.10188961364725,77.08959391222481,2.3519742412376217,0.2500000000918065,0.3644970162807837,1.0,0.9999138302121232
clean_measurements,ekf,0.003972590048724777,0.32015621187164245,0.0005802460855856016,0.0018134651819214555,0.010383235211664867,1.0,0.9999138302121232
dropout_1s,dead_reckoning,46.10188961364725,77.08959391222481,2.3519742412376217,0.2500000000918065,0.3644970162807837,0.9736606908154145,0.9970939288114782
dropout_1s,ekf,0.13397537314263575,1.4183478419732074,0.006155374359763692,0.02386108258199276,0.059057965655828014,0.9736606908154145,0.9970939288114782
dropout_3s,dead_reckoning,46.10188961364725,77.08959391222481,2.3519742412376217,0.2500000000918065,0.3644970162807837,0.9210872193890962,0.9846902624017865
dropout_3s,ekf,0.7058078327667466,5.077542277626804,0.06667745659472431,0.0232267505619573,0.09118585522797838,0.9210872193890962,0.9846902624017865
high_noise,dead_reckoning,46.10188961364725,77.08959391222481,2.3519742412376217,0.2500000000918065,0.3644970162807837,1.0,0.998856353692022
high_noise,ekf,0.052724255847459246,0.32015621187164245,0.007116093699601952,0.03929600495471013,0.132691908014815,1.0,0.998856353692022
low_noise,dead_reckoning,46.10188961364725,77.08959391222481,2.3519742412376217,0.2500000000918065,0.3644970162807837,1.0,0.999645200297692
low_noise,ekf,0.01635693671075555,0.32015621187164245,0.0033729648450893795,0.018973535281005045,0.036076831277939765,1.0,0.999645200297692
