run_id,step,time_s,wall_time_s,profile_status,command_speed_mps,command_steer_rad,x_m,y_m,theta_rad,speed_mps,vx_mps,vy_mps,steer_rad,steer_vel_radps,yaw_rate_radps,slip_angle_rad,accel_x_mps2,collision
enriched_bridge_bag_v2,48,0.470000,0.470165,rosbag_export,2.000000000,0.027586764,0.821632377,0.673218689,1.401659073,1.850198571,1.850171345,0.010037208,0.032000000,3.200000000,0.087971815,0.005424962,0.747866864,0
enriched_bridge_bag_v2,49,0.480000,0.480086,rosbag_export,2.000000000,0.027586764,0.824640342,0.691510618,1.402599879,1.857321629,1.857296162,0.009726254,0.000000000,-3.200000000,0.083466675,0.005236734,0.712305795,0
enriched_bridge_bag_v2,50,0.490000,0.490153,rosbag_export,2.000000000,0.028036620,0.827657253,0.709871548,1.403377066,1.864105985,1.864079104,0.010011000,0.032000000,3.200000000,0.088699157,0.005370428,0.678435654,0
enriched_bridge_bag_v2,51,0.500000,0.498381,rosbag_export,2.000000000,0.028481198,0.830656532,0.728302470,1.404325288,1.870567746,1.870542609,0.009697439,0.000000000,-3.200000000,0.084179066,0.005184245,0.646176039,0
enriched_bridge_bag_v2,52,0.510000,0.510018,rosbag_export,2.000000000,0.029353786,0.833663369,0.746796074,1.405109144,1.876722250,1.876695691,0.009984248,0.032000000,3.200000000,0.089363263,0.005320071,0.615450368,0
enriched_bridge_bag_v2,53,0.520000,0.518544,rosbag_export,2.000000000,0.029353786,0.836651170,0.765353620,1.406064134,1.882584107,1.882559279,0.009668558,0.000000000,-3.200000000,0.084829000,0.005135813,0.586185703,0
enriched_bridge_bag_v2,54,0.530000,0.530140,rosbag_export,2.000000000,0.030203035,0.839645271,0.783968114,1.406854076,1.888167232,1.888140976,0.009957462,0.032000000,3.200000000,0.089969364,0.005273637,0.558312573,0
enriched_bridge_bag_v2,55,0.540000,0.539005,rosbag_export,2.000000000,0.030203035,0.842619068,0.802641056,1.407815239,1.893484880,1.893460341,0.009640042,0.000000000,-3.200000000,0.085421736,0.005091186,0.531764810,0
enriched_bridge_bag_v2,56,0.550000,0.550276,rosbag_export,2.000000000,0.031027446,0.845598028,0.821365741,1.408610732,1.898549674,1.898523700,0.009931036,0.032000000,3.200000000,0.090522293,0.005230878,0.506479394,0
enriched_bridge_bag_v2,57,0.560000,0.560093,rosbag_export,2.000000000,0.031027446,0.848555538,0.840143881,1.409577525,1.903373637,1.903349366,0.009612218,0.000000000,-3.200000000,0.085962113,0.005050116,0.482396298,0
enriched_bridge_bag_v2,58,0.570000,0.570174,rosbag_export,2.000000000,0.031429864,0.851517185,0.858969042,1.410378081,1.907968221,1.907942509,0.009905270,0.032000000,3.200000000,0.091026510,0.005191551,0.459458354,0
enriched_bridge_bag_v2,59,0.580000,0.580128,rosbag_export,2.000000000,0.031825505,0.854456344,0.877843123,1.411350005,1.912344332,1.912320309,0.009585330,0.000000000,-3.200000000,0.086454586,0.005012366,0.437611110,0
